date,prev
9/12/21,1
9/13/21,1
9/14/21,1
9/15/21,1
9/16/21,1
9/17/21,1
9/18/21,1
9/19/21,1
9/20/21,1
9/21/21,1
9/22/21,1
9/23/21,1
9/24/21,1
9/25/21,1
9/26/21,1
9/27/21,1
9/28/21,1
9/29/21,1
9/30/21,1
10/1/21,1
10/2/21,1
10/3/21,1
10/4/21,1
10/5/21,1
10/6/21,1
10/7/21,1
10/8/21,1
10/9/21,1
10/10/21,1
10/11/21,1
10/12/21,1
10/13/21,1
10/14/21,1
10/15/21,1
10/16/21,1
10/17/21,1
10/18/21,1
10/19/21,1
10/20/21,1
10/21/21,1
10/22/21,1
10/23/21,1
10/24/21,1
10/25/21,1
10/26/21,1
10/27/21,1
10/28/21,1
10/29/21,1
10/30/21,1
10/31/21,1
11/1/21,1
11/2/21,1
11/3/21,1
11/4/21,1
11/5/21,1
11/6/21,1
11/7/21,1
11/8/21,1
11/9/21,1
11/10/21,1
11/11/21,1
11/12/21,1
11/13/21,1
11/14/21,1
11/15/21,1
11/16/21,1
11/17/21,1
11/18/21,1
11/19/21,1
11/20/21,1
11/21/21,1
11/22/21,1
11/23/21,1
11/24/21,1
11/25/21,1
11/26/21,1
11/27/21,1
11/28/21,1
11/29/21,1
11/30/21,1
12/1/21,1
12/2/21,1
12/3/21,1
12/4/21,1
12/5/21,1
12/6/21,1
12/7/21,1
12/8/21,1
12/9/21,1
12/10/21,1
12/11/21,1
12/12/21,1
12/13/21,1
12/14/21,1
12/15/21,1
12/16/21,1
12/17/21,1
12/18/21,1
12/19/21,1
12/20/21,1
12/21/21,1
12/22/21,1
12/23/21,1
12/24/21,1
12/25/21,1
12/26/21,1
12/27/21,1
12/28/21,1
12/29/21,1
12/30/21,1
12/31/21,1
1/1/22,1
1/2/22,1
1/3/22,1
1/4/22,1
1/5/22,1
1/6/22,1
1/7/22,1
1/8/22,1
1/9/22,1
1/10/22,1
1/11/22,1
1/12/22,1
1/13/22,1
1/14/22,1
1/15/22,1
1/16/22,1
1/17/22,1
1/18/22,1
1/19/22,1
1/20/22,1
1/21/22,1
1/22/22,1
1/23/22,1
1/24/22,1
1/25/22,1
1/26/22,1
1/27/22,1
1/28/22,1
1/29/22,1
1/30/22,1
1/31/22,1
2/1/22,1
2/2/22,1
2/3/22,1
2/4/22,1
2/5/22,1
2/6/22,1
2/7/22,1
2/8/22,1
2/9/22,1
2/10/22,1
2/11/22,1
2/12/22,1
2/13/22,1
2/14/22,1
2/15/22,1
2/16/22,1
2/17/22,1
2/18/22,1
2/19/22,1
2/20/22,1
2/21/22,1
2/22/22,1
2/23/22,1
2/24/22,1
2/25/22,1
2/26/22,1
2/27/22,1
2/28/22,1
3/1/22,1
3/2/22,1
3/3/22,1
3/4/22,1
3/5/22,1
3/6/22,1
3/7/22,1
3/8/22,1
3/9/22,1
3/10/22,1
3/11/22,1
3/12/22,1
3/13/22,1
3/14/22,1
3/15/22,1
3/16/22,1
3/17/22,1
3/18/22,1
3/19/22,1
3/20/22,1
3/21/22,1
3/22/22,1
3/23/22,1
3/24/22,1
3/25/22,1
3/26/22,1
3/27/22,1
3/28/22,1
3/29/22,1
3/30/22,1
3/31/22,1
4/1/22,1
4/2/22,1
4/3/22,1
4/4/22,1
4/5/22,1
4/6/22,1
4/7/22,1
4/8/22,1
4/9/22,1
4/10/22,1
4/11/22,1
4/12/22,1
4/13/22,1
4/14/22,1
4/15/22,1
4/16/22,1
4/17/22,1
4/18/22,1
4/19/22,1
4/20/22,1
4/21/22,1
4/22/22,1
4/23/22,1
4/24/22,1
4/25/22,1
4/26/22,1
4/27/22,1
4/28/22,1
4/29/22,1
4/30/22,1
5/1/22,1
5/2/22,1
5/3/22,1
5/4/22,1
5/5/22,1
5/6/22,1
5/7/22,1
5/8/22,1
5/9/22,1
5/10/22,1
5/11/22,1
5/12/22,1
5/13/22,1
5/14/22,1
5/15/22,1
5/16/22,1
5/17/22,1
5/18/22,1
5/19/22,1
5/20/22,1
5/21/22,1
5/22/22,1
5/23/22,1
5/24/22,1
5/25/22,1
5/26/22,1
5/27/22,1
5/28/22,1
5/29/22,1
5/30/22,1
5/31/22,1
6/1/22,1
6/2/22,1
6/3/22,1
6/4/22,1
6/5/22,1
6/6/22,1
6/7/22,1
6/8/22,1
6/9/22,1
6/10/22,1
6/11/22,1
6/12/22,1
6/13/22,1
6/14/22,1
6/15/22,1
6/16/22,1
6/17/22,1
6/18/22,1
6/19/22,1
6/20/22,1
6/21/22,1
6/22/22,1
6/23/22,1
6/24/22,1
6/25/22,1
6/26/22,1
6/27/22,1
6/28/22,1
6/29/22,1
6/30/22,1
7/1/22,1
7/2/22,1
7/3/22,1
7/4/22,1
7/5/22,1
7/6/22,1
7/7/22,1
7/8/22,1
7/9/22,1
7/10/22,1
7/11/22,1
7/12/22,1
7/13/22,1
7/14/22,1
7/15/22,1
7/16/22,1
7/17/22,1
7/18/22,1
7/19/22,1
7/20/22,1
7/21/22,1
7/22/22,1
7/23/22,1
7/24/22,1
7/25/22,1
7/26/22,1
7/27/22,1
7/28/22,1
7/29/22,1
7/30/22,1
7/31/22,1
8/1/22,1
8/2/22,1
8/3/22,1
8/4/22,1
8/5/22,1
8/6/22,1
8/7/22,1
8/8/22,1
8/9/22,1
8/10/22,1
8/11/22,1
8/12/22,1
8/13/22,1
8/14/22,1
8/15/22,1
8/16/22,1
8/17/22,1
8/18/22,1
8/19/22,1
8/20/22,1
8/21/22,1
8/22/22,1
8/23/22,1
8/24/22,1
8/25/22,1
8/26/22,1
8/27/22,1
8/28/22,1
8/29/22,1
8/30/22,1
8/31/22,1
9/1/22,1
9/2/22,1
9/3/22,1
9/4/22,1
9/5/22,1
9/6/22,1
9/7/22,1
9/8/22,1
9/9/22,1
9/10/22,1
9/11/22,1
9/12/22,1
9/13/22,1
9/14/22,1
9/15/22,1
9/16/22,1
9/17/22,1
9/18/22,1
9/19/22,1
9/20/22,1
9/21/22,1
9/22/22,1
9/23/22,1
9/24/22,1
9/25/22,1
9/26/22,1
9/27/22,1
9/28/22,1
9/29/22,1
9/30/22,1
